filter,filter_label,d_p_mm,porosity,thickness_mm,U_mps,Cp_holes,top,Darcy_d_1pm2,Forch_f_1pm,Q_filter_Lpm,Q_top_Lpm,Q_holes_Lpm,V_face_mps,dp_filter_Pa,q_Pa,residence_ms,Re_particle
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,6,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-2.9402952196136534,-67.36940945409383,64.42911423448018,-0.05397491561141671,-1.4268723532274208,21.599999999999998,inf,14.313789775403327
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,6,0.1,capped,31121399.176954735,5281.207133058984,3.9826510000409403,0.0,3.9826510000683166,0.07310941098805027,2.092288409418249,21.599999999999998,221.58569985809197,19.388131090753664
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,6,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,2.57288943265588,-74.88154216417308,77.45443159682897,0.047230458043377783,1.2122393457230076,21.599999999999998,342.999002574175,12.525204342995213
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,6,0.3,capped,31121399.176954735,5281.207133058984,8.797457637388,0.0,8.797457637388009,0.1614946793116317,6.250015227543658,21.599999999999998,100.31290237580718,42.82731827048796
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,6,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,7.832796309086221,-85.16230807073688,92.9951043798231,0.14378641878004902,5.274230531754391,21.599999999999998,112.66710818343171,38.13120498034449
F1,coarse granules d_p=4 mm,4.0,0.45,36.0,6,0.6,capped,31121399.176954735,5281.207133058984,13.806984490971132,0.0,13.806984490971276,0.2534544210993301,12.467747930473482,21.599999999999998,63.91681758690308,67.21443211473948
F2,medium granules d_p=2 mm,2.0,0.45,9.0,1,0.1,"open, Cp=-0.6",124485596.70781894,10562.414266117969,-0.11955158944599888,-11.135219353740041,11.015667764294447,-0.0021946051228170223,-0.044778454037179116,0.6,inf,0.29099736435142837
F2,medium granules d_p=2 mm,2.0,0.45,9.0,1,0.1,capped,124485596.70781894,10562.414266117969,0.15584909869224015,0.0,0.15584909873365121,0.002860917466353709,0.058482537142193244,0.6,1415.6297927607811,0.37934817233419343
F2,medium granules d_p=2 mm,2.0,0.45,9.0,1,0.3,"open, Cp=-0.6",124485596.70781894,10562.414266117969,0.10396382022888669,-12.56482247268353,12.668786292912417,0.001908460887213898,0.03890885446767216,0.6,2122.1288982833007,0.2530555872548815
F2,medium granules d_p=2 mm,2.0,0.45,9.0,1,0.3,capped,124485596.70781894,10562.414266117969,0.45987763425059136,0.0,0.45987763425089906,0.008441960635338907,0.17525685977376282,0.6,479.7463734960203,1.119375995846043
F2,medium granules d_p=2 mm,2.0,0.45,9.0,1,0.6,"open, Cp=-0.6",124485596.70781894,10562.414266117969,0.4286240726538459,-14.428412897396795,14.857036970050642,0.007868239895160235,0.16308882278263728,0.6,514.7275698204322,1.043302527535059
F2,medium granules d_p=2 mm,2.0,0.45,9.0,1,0.6,capped,124485596.70781894,10562.414266117969,0.8984918410575795,0.0,0.8984918410648014,0.016493589138644904,0.3499848761650061,0.6,245.54995070846925,2.1869952449031915
F2,medium granules d_p=2 mm,2.0,0.45,9.0,2,0.1,"open, Cp=-0.6",124485596.70781894,10562.414266117969,-0.454174432990465,-22.324919044561444,21.870744611571112,-0.008337267132225061,-0.17303361564266703,2.4,inf,1.1054939843834337
F2,medium granules d_p=2 mm,2.0,0.45,9.0,2,0.1,capped,124485596.70781894,10562.414266117969,0.6082988289266918,0.0,0.6082988289294563,0.011166524279203484,0.23355465752840998,2.4,362.69119188167736,1.480644103319799
F2,medium granules d_p=2 mm,2.0,0.45,9.0,2,0.3,"open, Cp=-0.6",124485596.70781894,10562.414266117969,0.393896250558832,-25.081559877501668,25.47545612806051,0.007230742253956383,0.14961218326866368,2.4,560.108472651476,0.9587724535632772
F2,medium granules d_p=2 mm,2.0,0.45,9.0,2,0.3,capped,124485596.70781894,10562.414266117969,1.7222108705030097,0.0,1.7222108705032613,0.03161457590393887,0.6981100756506086,2.4,128.10546667796385,4.191987965163165
F2,medium granules d_p=2 mm,2.0,0.45,9.0,2,0.6,"open, Cp=-0.6",124485596.70781894,10562.414266117969,1.5548746946914553,-28.67251652106716,30.227391215760292,0.028542790490039986,0.6252783456316648,2.4,141.8922232363107,3.7846794019942522
